Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
101,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,267.50,328.66," 50,450 ",,,,,,,,,,,
102,PIE,St Pete Clearwater International,St. Petersburg,FL,95.95,117.88," 48,668 ",,,,,,,,,,,
103,SFB,Orlando Sanford International,Sanford,FL,94.07,115.58," 48,131 ",,,,,,,,,,,
104,EUG,Mahlon Sweet Field,Eugene,OR,292.76,359.70," 48,046 ",,,,,,,,,,,
105,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,242.13,297.49," 46,040 ",,,,,,,,,,,
106,HVN,Tweed New Haven,New Haven,CT,247.48,304.07," 45,855 ",,,,,,,,,,,
107,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,363.48,446.59," 44,464 ",,,,,,,,,,,
108,MDT,Harrisburg International,Harrisburg,PA,242.13,297.49," 42,667 ",,,,,,,,,,,
109,ISP,Long Island MacArthur,Islip,NY,201.91,248.08," 42,627 ",,,,,,,,,,,
110,LEX,Blue Grass,Lexington,KY,247.34,303.89," 42,439 ",,,,,,,,,,,
111,MAF,Midland International Air and Space Port,Midland/Odessa,TX,290.79,357.27," 41,759 ",,,,,,,,,,,
112,FSD,Joe Foss Field,Sioux Falls,SD,268.04,329.33," 40,697 ",,,,,,,,,,,
113,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,104.92,128.91," 40,330 ",,,,,,,,,,,
114,MFE,McAllen International,Mission/McAllen/Edinburg,TX,302.36,371.49," 39,274 ",,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,250.53,307.81," 38,296 ",,,,,,,,,,,
116,ILM,Wilmington International,Wilmington,NC,315.99,388.24," 38,008 ",,,,,,,,,,,
117,ITO,Hilo International,Hilo,HI,145.41,178.65," 37,948 ",,,,,,,,,,,
118,SGF,Springfield-Branson National,Springfield,MO,246.57,302.94," 37,755 ",,,,,,,,,,,
119,PGD,Punta Gorda Airport,Punta Gorda,FL,107.07,131.55," 37,063 ",,,,,,,,,,,
120,MHT,Manchester Boston Regional,Manchester,NH,233.45,286.83," 37,031 ",,,,,,,,,,,
121,BTV,Burlington International,Burlington,VT,334.98,411.57," 36,575 ",,,,,,,,,,,
122,SBA,Santa Barbara Municipal,Santa Barbara,CA,327.77,402.71," 36,080 ",,,,,,,,,,,
123,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,365.83,449.47," 35,868 ",,,,,,,,,,,
124,ATW,Appleton International,Appleton,WI,249.47,306.50," 35,369 ",,,,,,,,,,,
125,CAE,Columbia Metropolitan,Columbia,SC,303.40,372.77," 35,315 ",,,,,,,,,,,
126,DAY,James M Cox/Dayton International,Dayton,OH,269.20,330.75," 35,189 ",,,,,,,,,,,
127,ECP,Northwest Florida Beaches International,Panama City,FL,234.52,288.14," 33,188 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,309.68,380.48," 33,127 ",,,,,,,,,,,
129,FAR,Hector International,Fargo,ND,292.71,359.64," 32,694 ",,,,,,,,,,,
130,CHA,Lovell Field,Chattanooga,TN,247.56,304.16," 31,471 ",,,,,,,,,,,
131,LBB,Lubbock Preston Smith International,Lubbock,TX,256.69,315.38," 30,395 ",,,,,,,,,,,
132,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,193.28,237.47," 29,795 ",,,,,,,,,,,
133,HRL,Valley International,Harlingen/San Benito,TX,224.37,275.67," 29,191 ",,,,,,,,,,,
134,ACY,Atlantic City International,Atlantic City,NJ,100.35,123.29," 28,530 ",,,,,,,,,,,
135,MFR,Rogue Valley International - Medford,Medford,OR,307.81,378.19," 28,387 ",,,,,,,,,,,
136,SBN,South Bend International,South Bend,IN,218.43,268.37," 27,926 ",,,,,,,,,,,
