Average Domestic Airline Itinerary Fares By Origin City for Q3 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,249.98,303.70," 38,296 ",,,,,,,,,,,
116,ILM,Wilmington International,Wilmington,NC,305.98,371.73," 38,008 ",,,,,,,,,,,
117,ITO,Hilo International,Hilo,HI,143.48,174.31," 37,948 ",,,,,,,,,,,
118,SGF,Springfield-Branson National,Springfield,MO,274.40,333.36," 37,755 ",,,,,,,,,,,
119,PGD,Punta Gorda Airport,Punta Gorda,FL,100.39,121.96," 37,063 ",,,,,,,,,,,
120,MHT,Manchester Boston Regional,Manchester,NH,254.99,309.79," 37,031 ",,,,,,,,,,,
121,BTV,Burlington International,Burlington,VT,312.00,379.04," 36,575 ",,,,,,,,,,,
122,SBA,Santa Barbara Municipal,Santa Barbara,CA,320.17,388.98," 36,080 ",,,,,,,,,,,
123,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,368.41,447.58," 35,868 ",,,,,,,,,,,
124,ATW,Appleton International,Appleton,WI,271.82,330.23," 35,369 ",,,,,,,,,,,
125,CAE,Columbia Metropolitan,Columbia,SC,300.84,365.49," 35,315 ",,,,,,,,,,,
126,DAY,James M Cox/Dayton International,Dayton,OH,278.96,338.90," 35,189 ",,,,,,,,,,,
127,ECP,Northwest Florida Beaches International,Panama City,FL,244.35,296.85," 33,188 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,286.49,348.05," 33,127 ",,,,,,,,,,,
129,FAR,Hector International,Fargo,ND,292.42,355.26," 32,694 ",,,,,,,,,,,
130,CHA,Lovell Field,Chattanooga,TN,301.81,366.66," 31,471 ",,,,,,,,,,,
131,LBB,Lubbock Preston Smith International,Lubbock,TX,264.34,321.15," 30,395 ",,,,,,,,,,,
132,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,210.42,255.64," 29,795 ",,,,,,,,,,,
133,HRL,Valley International,Harlingen/San Benito,TX,227.84,276.80," 29,191 ",,,,,,,,,,,
134,ACY,Atlantic City International,Atlantic City,NJ,82.82,100.62," 28,530 ",,,,,,,,,,,
135,MFR,Rogue Valley International - Medford,Medford,OR,292.93,355.88," 28,387 ",,,,,,,,,,,
136,SBN,South Bend International,South Bend,IN,240.54,292.23," 27,926 ",,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,303.62,368.86," 27,906 ",,,,,,,,,,,
138,FAI,Fairbanks International,Fairbanks,AK,367.72,446.75," 27,618 ",,,,,,,,,,,
139,PVU,Provo Municipal,Provo,UT,94.21,114.46," 27,400 ",,,,,,,,,,,
140,FWA,Fort Wayne International,Fort Wayne,IN,249.50,303.12," 26,685 ",,,,,,,,,,,
141,TLH,Tallahassee International,Tallahassee,FL,330.75,401.83," 25,686 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,285.97,347.42," 25,558 ",,,,,,,,,,,
143,CAK,Akron-Canton Regional,Akron,OH,275.55,334.76," 25,340 ",,,,,,,,,,,
144,BIL,Billings Logan International,Billings,MT,302.98,368.09," 25,278 ",,,,,,,,,,,
145,STT,Cyril E King,Charlotte Amalie,VI,315.28,383.03," 23,386 ",,,,,,,,,,,
146,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,312.05,379.11," 22,788 ",,,,,,,,,,,
147,PIA,General Downing - Peoria International,Peoria,IL,210.35,255.56," 22,607 ",,,,,,,,,,,
148,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,291.72,354.40," 21,711 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,272.33,330.85," 21,618 ",,,,,,,,,,,
150,FCA,Glacier Park International,Kalispell,MT,302.22,367.17," 21,498 ",,,,,,,,,,,
151,ROA,Roanoke Blacksburg Regional,Roanoke,VA,308.55,374.85," 21,008 ",,,,,,,,,,,
152,BQN,Rafael Hernandez,Aguadilla,PR,264.00,320.73," 20,736 ",,,,,,,,,,,
153,CHO,Charlottesville Albemarle,Charlottesville,VA,297.16,361.01," 20,466 ",,,,,,,,,,,
154,MLI,Quad Cities International,Moline,IL,264.32,321.12," 20,094 ",,,,,,,,,,,
155,RAP,Rapid City Regional,Rapid City,SD,316.29,384.26," 20,028 ",,,,,,,,,,,
156,SBP,San Luis County Regional,San Luis Obispo,CA,333.41,405.05," 19,797 ",,,,,,,,,,,
157,FNT,Bishop International,Flint,MI,202.53,246.05," 19,789 ",,,,,,,,,,,
158,CRP,Corpus Christi International,Corpus Christi,TX,293.11,356.10," 19,530 ",,,,,,,,,,,
159,PAE,Snohomish County,Everett,WA,234.26,284.59," 19,523 ",,,,,,,,,,,
160,SHV,Shreveport Regional,Shreveport,LA,312.04,379.09," 19,446 ",,,,,,,,,,,
161,TVC,Cherry Capital,Traverse City,MI,312.44,379.59," 19,320 ",,,,,,,,,,,
162,BGR,Bangor International,Bangor,ME,281.58,342.09," 19,034 ",,,,,,,,,,,
163,GRB,Green Bay Austin Straubel International,Green Bay,WI,310.31,376.99," 18,187 ",,,,,,,,,,,
164,BIS,Bismarck Municipal,Bismarck/Mandan,ND,297.91,361.93," 17,904 ",,,,,,,,,,,
165,BLI,Bellingham International,Bellingham,WA,196.90,239.21," 17,664 ",,,,,,,,,,,
166,AGS,Augusta Regional at Bush Field,Augusta,GA,298.02,362.06," 17,458 ",,,,,,,,,,,
167,IDA,Idaho Falls Regional,Idaho Falls,ID,327.29,397.62," 17,151 ",,,,,,,,,,,
168,DAB,Daytona Beach International,Daytona Beach,FL,291.89,354.61," 16,860 ",,,,,,,,,,,
169,JAC,Jackson Hole,Jackson,WY,376.03,456.83," 16,840 ",,,,,,,,,,,
170,TTN,Trenton Mercer,Trenton,NJ,105.24,127.85," 16,828 ",,,,,,,,,,,
171,GNV,Gainesville Regional,Gainesville,FL,307.90,374.07," 16,639 ",,,,,,,,,,,
172,EYW,Key West International,Key West,FL,304.95,370.48," 16,616 ",,,,,,,,,,,
173,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,295.30,358.76," 16,550 ",,,,,,,,,,,
